,Height,Weight,BMI,FCVC,NCP,CH2O,FAF,TUE
53,1.62,69.0,26.29,2.0,3.0,1.0,1.0,2.0
54,1.64,110.7,41.16,3.0,3.0,1.73,0.0,0.77
55,1.74,54.8,18.1,2.3,2.5,2.72,0.28,0.0
56,1.7,80.0,27.68,3.0,3.0,2.0,0.98,1.54
57,1.7,78.0,26.99,3.0,3.0,1.0,1.0,1.0
58,1.56,63.0,25.89,3.0,3.0,2.0,1.0,0.0
59,1.6,44.6,17.42,3.0,3.0,2.44,1.19,0.0
60,1.7,50.2,17.37,2.6,3.0,2.65,1.0,0.0
61,1.71,97.4,33.31,2.0,1.4,2.0,0.46,1.24
62,1.61,111.9,43.17,3.0,3.0,2.62,0.0,0.48
63,1.8,65.0,20.06,3.0,3.0,2.0,2.0,0.0
64,1.76,117.4,37.9,2.0,3.0,2.0,1.82,0.63
65,1.63,50.0,18.82,3.0,4.0,2.0,2.0,1.0
66,1.62,82.0,31.25,1.8,1.0,2.17,0.0,0.3
67,1.8,91.0,28.09,2.0,3.0,2.0,1.0,1.0
68,1.83,85.3,25.47,2.0,3.0,2.11,1.0,0.0
69,1.7,81.7,28.27,2.0,2.9,1.75,0.69,0.0
70,1.8,95.0,29.32,2.0,3.0,3.0,0.0,1.0
71,1.79,88.1,27.5,3.0,1.1,3.0,1.36,0.0
72,1.75,133.7,43.66,3.0,3.0,2.87,1.5,0.63
73,1.7,83.0,28.72,2.0,3.0,2.0,0.0,0.45
74,1.63,104.9,39.48,3.0,3.0,1.62,0.08,0.58
75,1.79,50.0,15.61,3.0,3.4,1.0,1.69,0.0
76,1.63,70.0,26.35,3.0,1.0,2.0,0.0,1.0
77,1.75,87.9,28.7,2.3,3.0,3.0,2.05,0.94
78,1.6,67.0,26.17,2.0,3.0,1.0,1.0,0.0
79,1.76,105.0,33.9,3.0,1.0,2.0,2.0,1.0
80,1.56,80.0,32.87,2.0,1.2,1.87,1.98,0.0
81,1.83,117.8,35.18,2.1,3.0,2.11,1.08,0.04
82,1.7,50.0,17.3,2.0,3.0,2.72,1.0,0.0
83,1.75,75.0,24.49,3.0,3.0,2.0,2.0,0.0
84,1.77,117.4,37.47,2.0,3.0,1.77,0.63,0.0
85,1.68,83.3,29.51,2.7,3.0,2.52,0.92,0.0
86,1.64,111.9,41.6,3.0,3.0,2.63,0.0,0.1
87,1.83,120.9,36.1,3.0,3.0,1.4,0.74,0.76
88,1.64,111.9,41.6,3.0,3.0,2.63,0.0,0.15
89,1.77,114.1,36.42,2.2,3.0,2.15,1.05,0.74
90,1.7,77.4,26.78,2.0,3.0,1.85,1.0,0.0
91,1.62,110.4,42.07,3.0,3.0,2.7,0.0,0.48
92,1.71,65.0,22.23,2.8,1.4,1.13,0.93,1.31
93,1.7,50.0,17.3,1.0,3.0,2.0,0.0,2.0
94,1.78,114.5,36.14,2.3,3.0,2.0,1.63,0.0
95,1.71,75.0,25.65,2.0,3.0,1.64,1.0,0.46
96,1.82,120.2,36.29,3.0,3.0,2.16,1.35,0.0
97,1.62,70.0,26.67,2.0,3.0,1.0,1.0,0.0
98,1.64,110.8,41.2,3.0,3.0,2.7,0.0,0.44
99,1.74,95.0,31.38,2.0,3.0,2.0,2.0,2.0
100,1.5,60.0,26.67,2.0,3.0,1.0,0.0,1.0
101,1.8,50.0,15.43,2.0,4.0,2.0,2.0,1.0
102,1.84,122.8,36.27,2.9,3.0,1.95,0.09,0.0
103,1.65,90.0,33.06,2.0,1.0,3.0,1.0,0.0
104,1.62,110.0,41.91,3.0,3.0,2.7,0.0,0.67
105,1.6,102.4,40.0,3.0,3.0,1.05,0.03,0.55
106,1.62,111.3,42.41,3.0,3.0,2.61,0.0,0.25
107,1.7,56.0,19.38,2.0,3.0,2.0,1.0,1.0
108,1.75,137.8,45.0,3.0,3.0,2.84,1.47,0.84
109,1.75,112.4,36.7,2.1,3.0,2.0,0.77,0.0
110,1.8,95.0,29.32,2.0,3.0,3.0,3.0,2.0
111,1.7,72.0,24.91,2.0,3.0,2.0,3.0,0.0
112,1.63,59.0,22.21,3.0,3.0,2.0,2.0,0.0
113,1.65,51.0,18.73,3.0,3.0,2.0,1.0,1.0
114,1.76,57.0,18.4,3.0,3.0,2.0,0.0,2.0
115,1.74,76.0,25.1,3.0,3.0,1.0,0.0,0.0
116,1.8,108.3,33.43,2.0,1.8,2.43,1.0,1.43
117,1.63,110.9,41.74,3.0,3.0,2.67,0.0,0.28
118,1.72,133.0,44.96,3.0,3.0,2.84,1.68,0.63
119,1.82,58.0,17.51,2.0,3.0,1.0,1.0,1.0
120,1.74,86.0,28.41,2.0,3.0,2.0,2.0,0.0
121,1.63,111.9,42.12,3.0,3.0,2.72,0.0,0.09
122,1.63,68.1,25.63,1.8,3.0,1.84,0.53,0.09
123,1.67,72.7,26.07,2.0,3.8,2.0,0.61,1.0
124,1.77,96.9,30.93,2.0,3.0,2.0,0.0,1.15
125,1.52,42.0,18.18,3.0,1.0,1.53,0.0,0.86
126,1.82,71.0,21.43,3.0,3.0,2.0,2.0,1.0
127,1.67,81.0,29.04,2.0,3.0,1.65,0.0,0.79
128,1.63,66.0,24.84,3.0,3.0,2.0,0.0,2.0
129,1.87,121.2,34.66,2.2,3.0,1.54,0.98,0.0
130,1.84,61.4,18.14,2.0,4.0,2.45,2.51,0.39
131,1.52,42.0,18.18,2.6,3.0,1.61,1.95,0.43
132,1.75,120.9,39.48,3.0,3.0,2.08,1.1,0.2
133,1.62,109.9,41.88,3.0,3.0,1.44,0.0,0.63
134,1.78,108.0,34.09,2.0,3.0,2.0,1.0,1.0
135,1.62,69.0,26.29,1.0,3.0,2.2,0.83,0.16
136,1.74,75.0,24.77,2.0,3.0,1.0,2.0,0.0
137,1.69,75.0,26.26,2.0,3.0,1.0,1.0,0.0
138,1.7,78.9,27.3,2.0,1.0,2.0,0.61,1.74
139,1.5,71.6,31.82,3.0,3.1,2.0,1.08,1.0
140,1.82,151.2,45.65,3.0,3.0,2.3,1.98,0.76
141,1.62,70.0,26.67,2.0,1.0,2.0,1.0,0.0
142,1.69,60.0,21.01,1.0,3.0,2.0,0.0,0.0
143,1.79,105.0,32.77,2.0,3.0,3.0,2.71,1.59
144,1.77,114.2,36.45,1.4,3.0,2.04,1.48,0.09
145,1.85,91.0,26.59,2.0,3.0,2.0,1.0,1.0
146,1.66,103.2,37.45,2.8,3.0,1.97,0.53,1.56
147,1.68,60.0,21.26,2.0,3.0,1.0,0.0,1.0
148,1.72,133.7,45.19,3.0,3.0,2.83,1.52,0.93
149,1.65,62.0,22.77,2.0,3.0,1.0,1.0,0.0
150,1.77,120.2,38.37,3.0,3.0,2.36,1.17,0.06
151,1.8,100.5,31.02,2.0,1.0,1.0,1.0,1.0
152,1.6,48.0,18.75,3.0,3.0,2.0,1.0,0.0
153,1.7,65.0,22.49,2.0,3.0,2.0,1.0,1.0
154,1.68,77.0,27.28,3.0,3.0,1.0,1.0,0.0
155,1.69,90.0,31.51,2.0,1.0,2.0,1.0,1.0
156,1.93,120.0,32.22,2.0,3.0,3.0,0.0,1.0
157,1.77,120.0,38.3,2.9,3.0,2.0,0.88,1.33
158,1.64,111.9,41.6,3.0,3.0,2.89,0.0,0.1
159,1.8,66.5,20.52,2.0,3.0,3.0,3.0,2.0
160,1.7,70.0,24.22,2.0,3.0,2.0,1.0,1.0
161,1.7,75.0,25.95,2.0,3.0,3.0,1.0,1.0
162,1.56,53.0,21.78,2.0,3.0,2.0,2.0,1.0
163,1.68,80.0,28.34,2.0,2.4,1.98,0.0,1.95
164,1.6,70.0,27.34,3.0,1.0,3.0,1.0,0.0
165,1.76,120.0,38.74,2.5,3.0,1.83,1.58,0.08
166,1.61,102.9,39.7,2.0,3.0,1.0,0.0,1.07
167,1.7,50.0,17.3,2.0,3.0,1.0,1.0,1.0
168,1.71,65.0,22.23,2.0,3.0,2.0,1.0,1.0
169,1.68,90.0,31.89,2.0,3.0,1.5,0.87,0.0
170,1.7,78.0,26.99,3.0,3.0,2.0,0.0,1.0
171,1.7,62.0,21.45,3.0,3.0,2.0,2.0,0.0
172,1.83,90.0,26.87,2.8,2.4,2.0,0.0,0.13
173,1.81,105.4,32.17,2.0,2.6,2.51,2.09,1.81
174,1.56,62.3,25.6,2.3,2.9,1.17,0.0,1.94
175,1.82,121.0,36.53,2.6,3.0,1.86,1.98,0.0
176,1.72,99.5,33.63,2.0,2.8,2.0,0.68,0.78
177,1.62,70.0,26.67,3.0,1.0,3.0,1.0,0.0
178,1.6,68.0,26.56,2.0,3.0,2.0,1.0,0.0
179,1.73,133.6,44.64,3.0,3.0,1.31,1.58,0.74
180,1.71,50.0,17.1,1.3,3.7,1.33,0.79,0.0
181,1.65,88.0,32.32,2.0,3.0,2.0,0.0,1.0
182,1.6,100.2,39.14,2.0,1.0,3.0,1.0,1.71
183,1.83,133.5,39.86,3.0,3.0,2.87,1.44,0.86
184,1.75,120.1,39.22,3.0,3.0,2.53,1.6,0.36
185,1.7,78.0,26.99,3.0,1.0,3.0,1.0,1.0
186,1.65,83.0,30.49,2.0,3.0,3.0,3.0,1.0
187,1.8,86.0,26.54,3.0,3.0,2.0,2.0,1.0
188,1.63,110.8,41.7,3.0,3.0,2.74,0.0,0.37
189,1.63,104.8,39.44,3.0,3.0,2.68,0.0,0.63
190,1.66,90.0,32.66,2.0,3.0,1.75,0.67,0.0
191,1.63,77.3,29.09,2.3,1.8,2.33,0.91,0.38
192,1.75,75.0,24.49,2.0,3.0,2.0,3.0,1.0
193,1.69,65.0,22.76,2.0,3.0,2.0,0.0,2.0
194,1.7,65.0,22.49,2.0,3.0,2.0,2.0,1.0
195,1.56,51.0,20.96,2.0,4.0,1.0,0.0,2.0
196,1.7,71.0,24.57,3.0,3.0,1.0,1.0,1.0
197,1.77,115.1,36.74,2.0,3.0,2.15,0.63,1.42
198,1.83,121.0,36.13,2.7,3.0,2.14,1.08,0.19
199,1.85,121.3,35.44,3.0,2.5,1.55,0.85,1.12
200,1.61,102.1,39.39,2.7,1.0,1.0,1.58,0.0
201,1.8,80.0,24.69,2.0,3.0,2.0,2.0,1.0
202,1.8,160.6,49.57,3.0,3.0,2.18,1.99,0.55
203,1.74,90.0,29.73,3.0,3.0,2.97,1.0,0.0
204,1.7,70.0,24.22,2.0,3.0,2.0,2.0,1.0
205,1.83,120.6,36.01,2.9,2.8,2.94,1.12,0.82
206,1.86,120.2,34.74,2.4,3.0,2.21,1.08,0.57
207,1.77,119.2,38.05,2.0,3.0,2.02,1.96,0.73
208,1.76,119.4,38.55,2.4,3.0,2.02,0.6,0.69
209,1.71,99.5,34.03,2.0,1.3,2.0,1.14,0.0
210,1.87,121.9,34.86,2.2,3.0,2.36,0.91,0.09
211,1.63,111.9,42.12,3.0,3.0,2.61,0.0,0.54
212,1.78,112.5,35.51,1.4,3.0,2.11,1.56,0.0
213,1.58,65.0,26.04,2.0,1.1,3.0,1.0,1.0
214,1.65,63.0,23.14,3.0,3.0,3.0,3.0,1.0
215,1.59,53.6,21.2,2.0,3.0,1.0,0.0,1.0
216,1.76,133.9,43.23,3.0,3.0,2.87,1.49,0.74
217,1.82,106.4,32.12,2.0,3.0,2.64,0.29,1.0
218,1.82,52.3,15.79,2.0,3.0,2.0,1.0,0.74
219,1.51,63.9,28.03,2.0,3.0,1.28,0.02,0.0
220,1.75,54.9,17.93,3.0,3.0,2.0,1.97,0.63
221,1.75,126.5,41.31,3.0,3.0,1.27,1.4,0.9
222,1.69,83.2,29.13,2.0,1.0,2.2,2.19,0.0
223,1.72,133.7,45.19,3.0,3.0,2.05,1.41,0.65
224,1.6,50.0,19.53,1.0,3.0,2.0,1.0,1.0
225,1.64,111.9,41.6,3.0,3.0,2.64,0.0,0.17
226,1.77,118.3,37.76,2.3,3.0,2.12,0.15,0.0
227,1.76,133.9,43.23,3.0,3.0,1.86,1.78,0.71
228,1.72,78.0,26.37,2.0,3.0,3.0,1.0,0.0
229,1.72,78.0,26.37,3.0,3.0,2.0,1.0,0.0
230,1.71,50.9,17.41,3.0,4.0,1.78,0.94,1.0
231,1.62,111.6,42.52,3.0,3.0,2.7,0.0,0.09
232,1.65,111.9,41.1,3.0,3.0,2.74,0.0,0.08
233,1.78,110.4,34.84,2.0,3.0,2.0,0.0,1.61
234,1.61,64.0,24.69,3.0,3.0,2.0,0.0,0.0
235,1.58,53.0,21.23,2.0,3.0,2.0,2.0,1.0
236,1.85,85.0,24.84,2.0,3.0,2.0,1.0,1.0
237,1.79,89.8,28.03,1.9,2.9,2.0,0.0,0.74
238,1.72,65.0,21.97,2.0,3.0,2.0,1.0,1.0
239,1.59,49.0,19.38,2.0,3.0,1.0,0.0,0.0
240,1.52,42.0,18.18,3.0,1.0,1.0,0.0,0.0
241,1.68,68.9,24.41,1.9,1.0,1.66,0.11,1.63
242,1.7,96.7,33.46,2.0,3.0,2.86,1.97,0.55
243,1.68,77.2,27.35,3.0,2.3,2.0,1.1,0.94
244,1.52,56.0,24.24,2.0,3.0,2.0,1.0,1.0
245,1.62,111.9,42.64,3.0,3.0,2.73,0.0,0.09
246,1.7,75.0,25.95,3.0,3.0,1.0,0.0,0.0
247,1.71,75.0,25.65,3.0,3.0,2.0,1.0,0.0
248,1.58,110.5,44.26,3.0,3.0,2.71,0.0,0.28
249,1.64,111.9,41.6,3.0,3.0,2.64,0.0,0.46
250,1.73,133.8,44.71,3.0,3.0,1.67,1.47,0.87
251,1.7,78.0,26.99,3.0,1.0,2.0,1.0,0.0
252,1.8,87.0,26.85,2.0,3.0,3.0,2.0,0.0
253,1.65,105.0,38.57,3.0,3.0,1.92,0.0,0.0
254,1.52,42.0,18.18,3.0,1.0,1.0,0.0,0.0
255,1.6,65.0,25.39,3.0,3.0,2.0,1.0,0.0
256,1.74,104.8,34.61,3.0,3.0,2.56,0.25,0.58
257,1.6,48.0,18.75,2.0,3.0,2.0,1.0,1.0
258,1.65,58.0,21.3,2.0,3.0,2.0,1.0,1.0
259,1.75,112.3,36.67,2.9,3.0,1.45,0.0,0.4
260,1.78,120.2,37.94,3.0,2.8,2.71,1.98,0.62
261,1.79,129.2,40.32,2.5,3.0,1.0,1.86,0.0
262,1.67,77.4,27.75,2.0,1.9,1.25,1.0,0.0
263,1.76,52.3,16.88,2.0,3.0,2.0,0.28,1.49
264,1.7,78.1,27.02,3.0,3.0,2.8,1.98,0.0
265,1.66,49.8,18.07,1.5,3.6,1.05,2.0,1.0
266,1.73,131.9,44.07,3.0,3.0,1.14,1.11,0.95
267,1.76,118.4,38.22,2.2,3.0,2.22,0.86,0.0
268,1.63,106.7,40.16,3.0,3.0,2.57,0.0,0.53
269,1.5,80.0,35.56,2.0,1.0,1.0,1.0,0.0
270,1.8,105.4,32.53,3.0,3.0,2.63,1.31,0.54
271,1.69,102.0,35.71,2.6,2.6,1.0,1.58,0.0
272,1.75,70.0,22.86,2.0,4.0,2.0,1.0,1.0
273,1.76,118.4,38.22,2.3,3.0,2.21,1.08,1.04
274,1.84,56.0,16.54,2.0,3.0,2.0,2.0,1.0
275,1.56,53.0,21.78,3.0,3.0,2.0,0.0,2.0
276,1.7,102.8,35.57,2.8,2.1,1.0,0.8,1.0
277,1.68,74.9,26.54,2.0,2.2,1.85,0.66,0.0
278,1.72,82.3,27.82,2.8,3.0,1.27,0.24,0.0
279,1.7,75.0,25.95,2.0,3.0,2.0,2.0,1.0
280,1.53,62.0,26.49,2.0,1.7,2.0,0.14,0.0
281,1.63,105.0,39.52,3.0,3.0,1.66,0.02,0.54
282,1.67,49.7,17.82,2.0,4.0,1.16,2.0,1.0
283,1.64,111.2,41.34,3.0,3.0,2.77,0.0,0.17
284,1.91,129.4,35.47,2.0,3.0,1.28,1.93,0.0
285,1.6,65.0,25.39,2.0,3.0,3.0,1.0,1.0
286,1.64,111.9,41.6,3.0,3.0,2.54,0.0,0.46
287,1.61,104.8,40.43,3.0,3.0,1.08,0.07,0.73
288,1.64,82.4,30.64,2.3,3.0,2.36,2.55,1.26
289,1.7,80.0,27.68,2.0,2.7,2.0,2.67,0.0
290,1.76,110.0,35.51,2.8,3.0,1.0,1.86,0.0
291,1.62,50.0,19.05,3.0,3.0,2.0,1.0,1.0
292,1.82,59.3,17.9,2.0,4.0,2.0,2.0,0.18
293,1.62,82.9,31.59,1.2,3.0,2.0,0.0,0.62
294,1.65,85.0,31.22,2.0,3.0,2.0,1.0,1.0
295,1.63,53.0,19.95,2.0,3.0,2.0,2.0,2.0
296,1.6,56.0,21.87,2.0,1.0,2.0,1.0,0.0
297,1.76,42.0,13.56,3.0,2.4,2.7,1.9,0.0
298,1.83,120.3,35.92,2.3,3.0,2.31,1.29,1.36
299,1.65,60.0,22.04,2.0,3.0,2.0,1.0,1.0
300,1.8,85.0,26.23,2.0,3.0,3.0,3.0,1.0
301,1.78,120.6,38.06,2.7,3.0,2.15,0.46,1.43
302,1.55,60.0,24.97,3.0,4.0,2.0,1.0,0.0
303,1.8,91.1,28.12,1.9,3.0,2.0,0.05,0.17
304,1.72,83.0,28.06,2.0,1.0,2.0,3.0,1.0
305,1.55,80.0,33.3,2.0,3.0,1.0,0.0,0.0
306,1.8,80.0,24.69,3.0,3.0,3.0,2.0,1.0
307,1.76,133.5,43.1,3.0,3.0,1.42,1.7,0.89
308,1.63,111.4,41.93,2.6,3.0,1.0,0.19,0.17
309,1.61,104.9,40.47,3.0,3.0,1.32,0.01,0.67
310,1.59,80.6,31.88,2.0,1.0,2.0,1.0,0.0
311,1.76,118.5,38.26,2.2,3.0,2.79,0.69,1.11
312,1.55,80.0,33.3,2.0,3.0,2.0,0.0,0.0
313,1.61,104.9,40.47,3.0,3.0,2.59,0.0,0.41
314,1.65,80.0,29.38,2.0,3.0,2.0,1.0,1.0
315,1.65,90.0,33.06,2.0,3.0,2.0,0.0,1.0
316,1.8,85.3,26.33,3.0,3.0,2.52,2.0,0.14
317,1.8,95.0,29.32,2.0,3.0,2.0,1.0,1.0
318,1.7,50.0,17.3,2.0,3.0,2.0,1.0,1.0
319,1.71,83.3,28.49,2.0,1.5,2.48,0.75,0.47
320,1.75,116.6,38.07,1.0,3.0,2.0,0.0,1.59
321,1.7,59.2,20.48,2.0,3.0,2.0,2.0,1.0
322,1.56,49.0,20.13,2.0,3.0,2.0,2.0,1.0
323,1.63,112.0,42.15,3.0,3.0,2.62,0.0,0.08
324,1.6,45.0,17.58,3.0,3.0,2.0,3.0,0.0
325,1.63,60.0,22.58,2.0,3.0,1.0,0.0,1.0
326,1.6,44.4,17.34,2.6,1.9,1.92,0.42,0.0
327,1.72,82.0,27.72,3.0,1.0,2.0,0.0,2.0
328,1.79,52.3,16.32,2.6,3.0,1.27,0.28,1.9
329,1.71,82.9,28.35,2.0,3.0,2.18,1.0,1.97
330,1.62,68.3,26.02,2.0,3.0,1.32,0.0,1.63
331,1.72,50.0,16.9,2.0,3.0,1.08,0.0,2.0
332,1.64,111.9,41.6,3.0,3.0,2.74,0.0,0.04
333,1.7,50.0,17.3,1.0,3.0,1.0,1.0,2.0
334,1.79,115.1,35.92,2.1,3.0,2.04,1.59,1.43
335,1.63,82.0,30.86,1.4,1.0,2.0,0.0,0.31
336,1.62,110.0,41.91,3.0,3.0,2.4,0.0,0.48
337,1.63,111.7,42.04,3.0,3.0,2.62,0.0,0.14
338,1.63,111.7,42.04,3.0,3.0,1.71,0.0,0.92
339,1.82,71.0,21.43,3.0,3.0,2.0,1.0,1.0
340,1.63,104.8,39.44,3.0,3.0,1.53,0.0,0.43
341,1.64,111.9,41.6,3.0,3.0,2.63,0.0,0.17
342,1.67,75.0,26.89,3.0,3.0,2.0,1.0,1.0
343,1.75,85.0,27.76,3.0,3.0,3.0,1.0,0.0
344,1.75,118.7,38.76,2.5,3.0,2.1,0.6,0.0
345,1.62,111.9,42.64,3.0,3.0,2.63,0.0,0.1
346,1.65,56.0,20.57,2.0,3.0,2.0,3.0,0.0
347,1.76,68.0,21.95,2.0,3.0,2.0,2.0,1.0
348,1.73,129.7,43.34,3.0,3.0,1.83,0.77,1.0
349,1.54,42.0,17.71,3.0,3.0,2.0,1.0,0.0
350,1.8,59.0,18.21,2.0,3.0,2.0,2.0,1.0
351,1.63,59.0,22.21,3.0,3.0,2.0,2.0,1.0
352,1.62,58.0,22.1,2.0,3.0,2.0,1.0,0.0
353,1.62,73.0,27.82,2.0,3.0,1.0,1.0,0.0
354,1.68,89.8,31.82,2.0,1.0,2.0,0.93,0.0
355,1.65,95.0,34.89,2.0,3.0,3.0,3.0,1.0
356,1.68,104.7,37.1,3.0,3.0,1.24,0.0,0.59
357,1.58,48.0,19.23,1.0,1.0,1.0,0.0,0.0
358,1.72,131.4,44.42,3.0,3.0,1.65,1.47,0.91
359,1.62,53.0,20.2,2.0,1.0,1.0,1.0,1.0
360,1.64,111.6,41.49,3.0,3.0,2.41,0.0,0.12
361,1.77,90.0,28.73,2.0,3.0,2.0,1.0,0.0
362,1.5,56.0,24.89,3.0,3.0,2.0,0.0,0.0
363,1.73,132.9,44.41,3.0,3.0,1.84,1.52,0.92
364,1.61,129.9,50.11,3.0,3.0,1.53,0.97,0.72
365,1.65,81.0,29.75,2.0,3.0,1.0,0.0,0.85
366,1.72,80.0,27.04,2.0,3.0,1.0,0.0,2.0
367,1.87,105.0,30.03,3.0,3.0,1.0,0.0,1.0
368,1.85,121.2,35.41,2.7,2.8,1.83,1.0,0.0
369,1.69,65.0,22.76,2.0,1.0,2.0,1.0,1.0
370,1.63,110.7,41.67,3.0,3.0,2.63,0.0,0.43
371,1.83,67.0,20.01,2.0,3.0,3.0,1.0,1.0
372,1.8,85.6,26.42,1.9,2.1,2.0,0.0,0.71
373,1.78,105.1,33.17,2.0,3.0,2.13,0.0,1.8
374,1.74,78.7,25.99,2.1,3.0,1.4,0.0,0.0
375,1.85,117.3,34.27,2.0,3.0,2.0,1.96,0.63
376,1.77,105.0,33.52,2.0,3.0,1.0,1.0,0.0
377,1.68,104.3,36.95,3.0,3.0,1.44,0.13,1.0
378,1.63,111.9,42.12,3.0,3.0,2.78,0.0,0.1
379,1.51,64.1,28.11,2.6,1.0,2.0,2.32,1.98
380,1.65,80.0,29.38,2.0,1.0,3.0,1.0,2.0
381,1.62,110.2,41.99,3.0,3.0,2.7,0.0,0.62
382,1.77,49.1,15.67,2.0,3.0,1.98,1.93,0.0
383,1.8,59.8,18.46,2.0,4.0,2.0,2.0,1.0
384,1.8,85.0,26.23,2.0,3.0,3.0,2.0,1.0
385,1.72,52.1,17.61,2.7,3.0,2.0,0.0,0.08
386,1.65,67.0,24.61,3.0,1.0,2.0,1.0,2.0
387,1.82,105.0,31.7,2.0,3.0,2.76,1.0,0.0
388,1.63,111.9,42.12,3.0,3.0,2.69,0.0,0.22
389,1.76,60.0,19.37,2.0,3.0,2.0,2.0,0.0
390,1.62,110.3,42.03,3.0,3.0,2.61,0.0,0.2
391,1.73,94.1,31.44,2.0,3.0,2.0,0.0,2.0
392,1.74,68.0,22.46,2.0,3.0,2.0,0.0,1.0
393,1.84,84.0,24.81,3.0,3.0,2.0,3.0,2.0
394,1.73,112.3,37.52,3.0,3.0,2.8,0.0,0.17
395,1.64,104.8,38.96,3.0,3.0,1.6,0.14,0.66
396,1.62,108.1,41.19,3.0,3.0,1.48,0.03,0.25
397,1.68,86.2,30.54,2.7,1.3,2.08,1.31,0.0
398,1.72,84.7,28.63,2.0,3.0,2.0,2.74,0.0
399,1.59,43.9,17.36,2.2,1.9,1.97,0.37,0.0
400,1.76,112.1,36.19,1.5,3.0,2.0,1.39,0.0
401,1.65,80.0,29.38,2.0,3.0,2.0,2.0,1.0
402,1.7,85.0,29.41,2.0,3.0,2.0,2.0,1.0
403,1.55,55.0,22.89,2.0,3.0,1.0,1.0,1.0
404,1.64,111.8,41.57,3.0,3.0,2.54,0.0,0.27
405,1.7,120.0,41.52,2.0,3.0,2.0,1.0,1.0
406,1.71,75.0,25.65,2.0,3.0,2.0,1.0,2.0
407,1.75,120.0,39.18,3.0,3.0,2.01,1.08,0.37
408,1.77,121.3,38.72,2.0,2.1,1.97,1.59,0.84
